filename,rel_path,is_swift_mt700,lc_number,issue_date,expiry_date,amount,currency,drawee_bic,drawee_bank,usance_days,usance_basis,applicant,beneficiary,port_loading,port_discharge
KDB_SWIFT발신_21994769_20260305161249  디원.pdf,2025년 모듈 발주/론지솔라/디원/석문호 론지 모듈 계약 재진행 2026년/LC전문/KDB_SWIFT발신_21994769_20260305161249  디원.pdf,True,M0215603NU00139,2026-03-05,2026-05-20,3422357.48,USD,KODBKRSE,산업은행,90,B/L_DATE,"THEONE.CO.,LTD.","LONGI SOLAR TECHNOLOGY CO.,LTD.",1/3,ANY PORT OF SOUTH KOREA
KDB_SWIFT발신_21994769_20260430133009  디원 어멘드.pdf,2025년 모듈 발주/론지솔라/디원/석문호 론지 모듈 계약 재진행 2026년/LC전문/KDB_SWIFT발신_21994769_20260430133009  디원 어멘드.pdf,False,,2026-03-05,2026-06-04,,,,,,,,,,
탑솔라-론지솔라 615WP LC개설 전문(국민은행 2026.03.12).pdf,2025년 모듈 발주/론지솔라/디원/석문호 론지 모듈 계약 재진행 2026년/LC전문/탑솔라-론지솔라 615WP LC개설 전문(국민은행 2026.03.12).pdf,False,,,,,,,,,,,,,
론지모듈 (645WP 1.9MW  650WP 3.1MW) LC개설 전문 2025.08.19.pdf,"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 (645WP 1.9MW  650WP 3.1MW) LC개설 전문 2025.08.19.pdf",False,,,,,,,,,,,,,
론지모듈 (645WP 650WP) LC개설 가전문 2025.08.19- 수정.pdf,"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 (645WP 650WP) LC개설 가전문 2025.08.19- 수정.pdf",False,,,,,,,,,,,,,
론지모듈 (645WP 650WP) LC개설 가전문 2025.08.19.pdf,"2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 (645WP 650WP) LC개설 가전문 2025.08.19.pdf",False,,,,,,,,,,,,,
"론지모듈 640WP, 645WP, 620WP 개설 가전문(2025.07.22).pdf","2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 640WP, 645WP, 620WP 개설 가전문(2025.07.22).pdf",False,,,,,,,,,,,,,
"론지모듈 640WP, 645WP, 620WP 개설 전문(2025.07.22).pdf","2025년 모듈 발주/론지솔라/탑솔라/론지모듈 640, 645,620/론지모듈 640WP, 645WP, 620WP 개설 전문(2025.07.22).pdf",False,,,,,,,,,,,,,
디원- 징코모듈 개설 전문(산업은행 2025.08.29)-18MW.pdf,2025년 모듈 발주/징코모듈/디원/디원- 징코모듈 개설 전문(산업은행 2025.08.29)-18MW.pdf,False,,,,,,,,,,,,,
탑솔라-징코솔라 KDB_SWIFT발신_21992407_20250829152933  (2025.08.29).pdf,2025년 모듈 발주/징코모듈/디원/탑솔라-징코솔라 KDB_SWIFT발신_21992407_20250829152933  (2025.08.29).pdf,True,M0215508NU00274,2025-08-29,2025-11-09,5094373.86,USD,KODBKRSE,산업은행,90,B/L_DATE,"TOPSOLAR CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
탑솔라-징코솔라 개설전문(하나은행 2025.08.29).pdf,2025년 모듈 발주/징코모듈/디원/탑솔라-징코솔라 개설전문(하나은행 2025.08.29).pdf,False,,,,,,,,,,,,,
화신이엔지-징코솔라 LC 가전문(2025.12.04).pdf,2025년 모듈 발주/징코모듈/화신이엔지/화신이엔지-징코솔라 LC 가전문(2025.12.04).pdf,False,,,,,,,,,,,,,
디원- 징코모듈 개설 전문(산업은행 2025.08.29).pdf,2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/디원- 징코모듈 개설 전문(산업은행 2025.08.29).pdf,False,,,,,,,,,,,,,
"디원_가전문(USD1,288,481.04) 징코솔라.pdf","2025년 모듈 발주/징코모듈/9월 징코모듈 선적서류/새 폴더/디원_가전문(USD1,288,481.04) 징코솔라.pdf",True,M0215508NU00267,2025-08-29,2025-11-23,1288481.04,USD,KODBKRSE,산업은행,90,B/L_DATE,"THEONE.CO.,LTD.","ZHEJIANG JINKO SOLAR CO.,LTD.",ANY PORT OF CHINA,ANY PORT OF SOUTH KOREA
