year,vendor,prefix,has_BL,has_PL,has_CI,has_HBL,has_OBL,file_count,sample_filenames
2025,론지솔라,"Re_ THE ONE Co.,Ltd_40HQ_25_LS-ONE-20260310-1_ATD0320_LR7-72HGD-615MA (no-id)",1,1,1,0,0,3,BL:LS-ONE-20260310-1_BL.pdf | CI:LS-ONE-20260310-1_CI.pdf | PL:LS-ONE-20260310-1_PL.pdf
2025,론지솔라,"THE ONE Co., Ltd_40HQ_25_LS-ONE-20260312-1_ATD0323_LR7-72HGD-615MA (no-id)",1,1,2,0,0,4,BL:LS-ONE-20260312-1_BL.pdf | CI:LS-ONE-20260312-1_CI (수정본).pdf | CI:LS-ONE-20260312-1_CI.pdf | PL:LS-ONE-20260312-1_PL.pdf
2025,론지솔라,WXAE25070807,0,0,0,1,0,1,HBL:HAWB112-37389811-WXAE25070807.pdf
2025,수입신고필증,수입신고필증 (no-id),0,0,0,0,1,1,OBL:1374 탑솔라 수입필증 OBL SNKO03K250201374   2025.03.11.pdf
2025,수입신고필증,JWSH25030014,0,0,0,0,1,1,OBL:0014 탑솔라 수입필증 OBL JWSH25030014 2025.03.11.pdf
2025,징코모듈,디원 18MW - 11502pcs (no-id),0,1,1,0,0,2,CI:8000312487-CUSTOMS-Z202511190066-2-CI.pdf | PL:8000312487-CUSTOMS-Z202511190066-2-PL.pdf
2025,징코모듈,징코 -화신이엔지 17280pcs (no-id),0,1,1,0,0,2,"CI:CI_17,280pcs.pdf | PL:PL__17,280pcs.pdf"
2025,징코모듈,징코-화신 635WP 17280pcs SNKO03K251102055 (no-id),1,0,0,0,0,1,"BL:BL_17,280pcs.pdf"
2025,징코모듈,징코-화신 635WP 7114pcs (no-id),1,1,1,0,0,3,"BL:BL_7,114pcs.pdf | CI:CI_7,114pcs.pdf | PL:PL_7,114pcs.pdf"
2025,징코모듈,징코-화신이엔지 21326pcs (no-id),1,1,1,0,0,3,"BL:BL_Hwasin_21,326pcs.pdf | CI:CI_Hwasin_21,326pcs.pdf | PL:PL_Hwasin_21,326pcs.pdf"
2025,징코모듈,징코33.5 (no-id),0,5,5,1,4,15,CI:CI SNKO03K250302336.pdf | CI:CI SNKO03K250302342.pdf | CI:CI SNKO03K250302344.pdf | CI:CI SNKO03K250302826.pdf | CI:CI SNKO03K250400209 (SHACYV52616).pdf | HBL:HBL SNKO03K250400209 (SHACYV52616).pdf
2025,징코모듈,탑솔라-징코 20MW 2025.11.18 (no-id),0,1,1,0,1,3,CI:CI 31464pcs.pdf | OBL:OBL SNK003K251003063.pdf | PL:PL 31464pcs.pdf
2025,징코모듈,DJSCNGB250024680,1,2,2,0,0,5,"CI:CI_Theone_11,502pcs  수정.pdf | CI:CI_Theone_11,502pcs.pdf | BL:DJSCNGB250024680_BL COPY.pdf | PL:PL_Theone_11,502pcs 수정.pdf | PL:PL_Theone_11,502pcs.pdf"
2025,징코모듈,DJSCNGB250024685,1,1,1,0,0,3,"BL:BL_Theone_5,760pcs.pdf | CI:CI_Theone_5,760pcs.pdf | PL:PL_Theone_5,760pcs.pdf"
2025,징코모듈,DJSCNGB250024687,1,1,1,0,0,3,"CI:CI_13,248pcs.pdf | BL:DJSCNGB250024687_BL COPY.pdf | PL:PL_13,248pcs.pdf"
2025,징코모듈,DJSCNGB250024696,0,1,1,0,0,2,CI:3.8000322588-CUSTOMS-Z202512020148-2-CI.pdf | PL:4.8000322588-CUSTOMS-Z202512020148-2-PL.pdf
2025,징코모듈,"FW_ Re_ ZJNAHW002 8000325107,SNKO03K251102055,QTY_17280 PCS (no-id)",1,2,2,0,0,5,CI:1.8000325107-CUSTOMS-Z202512050197-2-CI.pdf | PL:3.8000325107-CUSTOMS-Z202512050197-2-PL.pdf | BL:SNKO03K251102055 BL (1).pdf | PL:SNKO03K251102055 PL.pdf | CI:SNKO03K251102055CI.pdf
2025,징코모듈,FW_ ZJNAHW002 KR (no-id),0,1,1,0,0,2,CI:1.8000325101-CUSTOMS-Z202512050196-2-CI.pdf | PL:3.8000325101-CUSTOMS-Z202512050196-2-PL.pdf
2025,징코모듈,HDMUSHAA28081200,0,1,1,0,1,3,CI:CI HDMUSHAA28081200 635W 17280pcs.pdf | OBL:OBL HDMUSHAA28081200 635W 17280pcs.pdf | PL:PL HDMUSHAA28081200 635W 17280pcs.pdf
2025,징코모듈,JWSH25070012,0,1,1,0,1,3,CI:JWSH25070012 CI.pdf | OBL:JWSH25070012 OBL.pdf | PL:JWSH25070012 PL.pdf
2025,징코모듈,JWSH25070013,0,1,1,0,1,3,CI:JWSH25070013 CI.pdf | OBL:JWSH25070013 OBL.pdf | PL:JWSH25070013 PL.pdf
2025,징코모듈,JWSH25070017,0,2,2,0,2,6,CI:JWSH25070017 CI.pdf | PL:JWSH25070017 PL.pdf | OBL:JWSH25070017 OBL.pdf | CI:JWSH25070017 CI.pdf | PL:JWSH25070017 PL.pdf | OBL:JWSH25070017 OBL.pdf
2025,징코모듈,JWSH25070018,0,2,2,0,2,6,CI:JWSH25070018 CI.pdf | OBL:JWSH25070018 OBL.pdf | PL:JWSH25070018 PL.pdf | CI:JWSH25070018 CI.pdf | OBL:JWSH25070018 OBL.pdf | PL:JWSH25070018 PL.pdf
2025,징코모듈,JWSH25070021,0,1,1,0,1,3,CI:JWSH25070021 CI.pdf | OBL:JWSH25070021 OBL.pdf | PL:JWSH25070021 PL.pdf
2025,징코모듈,JWSH25070022,0,1,1,0,1,3,CI:JWSH25070022 CI.pdf | PL:JWSH25070022 PL.pdf | OBL:JWSH25070022 OBL.pdf
2025,징코모듈,JWSH25070025,0,1,1,0,1,3,CI:JWSH25070025 CI.pdf | PL:JWSH25070025 PL.pdf | OBL:JWSH25070025 OBL.pdf
2025,징코모듈,JWSH25070026,0,1,1,0,1,3,CI:JWSH25070026 CI.pdf | PL:JWSH25070026 PL.pdf | OBL:JWSH25070026 OBL.pdf
2025,징코모듈,JWSH25080025,0,1,1,0,1,3,CI:JWSH25080025 CI.pdf | PL:JWSH25080025 PL.pdf | OBL:JWSH25080025 OBL.pdf
2025,징코모듈,JWSH25080026,0,1,1,0,1,3,CI:JWSH25080026 CI.pdf | OBL:JWSH25080026 OBL.pdf | PL:JWSH25080026 Pl.pdf
2025,징코모듈,JWSH25080028,0,1,1,0,1,3,CI:JWSH25080028 CI.pdf | PL:JWSH25080028 PL.pdf | OBL:JWSH25080028 OBL.pdf
2025,징코모듈,JWSH25090001,0,1,1,0,1,3,CI:JWSH25090001 CI.pdf | PL:JWSH25090001 PL.pdf | OBL:JWSH25090001 OBL.pdf
2025,징코모듈,JWSH25090007,0,2,2,0,2,6,CI:JWSH25090007 CI.pdf | PL:JWSH25090007 PL.pdf | OBL:JWSH25090007 OBL.pdf | CI:JWSH25090007 CI.pdf | PL:JWSH25090007 PL.pdf | OBL:JWSH25090007 OBL.pdf
2025,징코모듈,JWSH25090008,0,2,2,0,2,6,CI:JWSH25090008 CI.pdf | OBL:JWSH25090008 OBL.pdf | PL:JWSH25090008 PL.pdf | CI:JWSH25090008 CI.pdf | OBL:JWSH25090008 OBL.pdf | PL:JWSH25090008 PL.pdf
2025,징코모듈,JWSH25090011,0,1,1,0,1,3,CI:JWSH25090011 CI.pdf | PL:JWSH25090011 PL.pdf | OBL:JWSH25090011 OBL.pdf
2025,징코모듈,JWSH25090054,0,1,1,0,1,3,CI:JWSH25090054 CI.pdf | PL:JWSH25090054 PL.pdf | OBL:JWSH25090054 OBL.pdf
2025,징코모듈,JWSH25090055,0,1,1,0,1,3,CI:JWSH25090055 CI.pdf | OBL:JWSH25090055 OBL.pdf | PL:JWSH25090055 PL.pdf
2025,징코모듈,JWSH25090057,0,1,1,0,1,3,CI:JWSH25090057 CI.pdf | OBL:JWSH25090057 OBL.pdf | PL:JWSH25090057 PL.pdf
2025,징코모듈,JWSH25120010,0,2,2,0,1,5,"CI:CI_17,280pcs.pdf | OBL:2.JWSH25120010 OBL.pdf | CI:JWSH25120010  CI.pdf | PL:JWSH25120010 -PL.pdf | PL:PL_17,280pcs.pdf"
2025,징코모듈,JWSH25120016,1,1,1,0,0,3,"BL:BL_4,284pcs JWSH25120016.pdf | CI:CI_4,284pcs.pdf | PL:PL_4,284pcs.pdf"
2025,징코모듈,JWSH25120029,0,2,2,0,0,4,"CI:CI_15,732pcs  수정본.pdf | CI:CI_15,732pcs.pdf | PL:PL_15,732pcs - 수정본.pdf | PL:PL_15,732pcs.pdf"
2025,징코모듈,JWSH25120034,1,0,0,0,0,1,"BL:BL_19,332pcs JWSH25120034.pdf"
2025,징코모듈,LS2512293984,0,1,0,0,1,2,PL:LS2512293984_CI&PL.pdf | OBL:LS2512293984_OBL.pdf
2025,징코모듈,NBOA39932100,0,0,0,1,0,1,HBL:NBOA39932100_HBL扫描.pdf
2025,징코모듈,NBOZQ8C88100 (no-id),0,1,1,0,1,3,CI:NBOZQ8C88100 CI.pdf | OBL:NBOZQ8C88100 OBL.pdf | PL:NBOZQ8C88100 PL.pdf
2025,징코모듈,NBOZY6445100,0,1,1,0,0,2,CI:NBOZY6445100 CI.pdf | PL:NBOZY6445100 PL.pdf
2025,징코모듈,OneDrive_2025-12-09 디원  11520pcs (no-id),2,1,1,0,0,4,"BL:BL_Theone_11,520pcs 수정.pdf | BL:BL_Theone_11,520pcs.pdf | CI:CI_Theone_11,520pcs.pdf | PL:PL_Theone_11,520pcs.pdf"
2025,징코모듈,"RE_ [진코솔라코리아] Topsolar 52mw_CI,PL,FR 송부의 건 (no-id)",0,1,1,0,0,2,"CI:CI_19,332pcs.pdf | PL:PL_19,332pcs.pdf"
2025,징코모듈,"RE_ [진코솔라코리아] Topsolar CI, PL, FR 송부의 건 (1) (no-id)",1,2,2,0,0,5,"CI:CI_11,772pcs.pdf | PL:PL_11,772pcs.pdf | BL:BL_11,772pcs.pdf | CI:CI_11,772pcs.pdf | PL:PL_11,772pcs.pdf"
2025,징코모듈,"RE_ [진코솔라코리아] Topsolar CI, PL, FR 송부의 건 (no-id)",0,1,1,0,0,2,"CI:CI_17,532pcs.pdf | PL:PL_17,532pcs.pdf"
2025,징코모듈,RE_ [Topsolar] Topsolar 310mw+Hwasin 40mw+Theone18mw 관련 진행상황  5760pcs (no-id),1,1,1,0,0,3,BL:251201_Theone_5760pcs BL.pdf | CI:251201_Theone_5760pcs CI.pdf | PL:251201_Theone_5760pcs PL.pdf
2025,징코모듈,SELYIT256012,1,0,1,0,0,2,"CI:CI_17,532pcs.pdf | BL:BL_17,532pcs  SELYIT256012.pdf"
2025,징코모듈,SHKWA25009166,2,1,1,0,0,4,BL:MX-M5658N_20250523_141424 O BL.pdf | BL:SHKWA25009166 BL draft.pdf | CI:SHKWA25009166 CI.pdf | PL:SHKWA25009166 PL.pdf
2025,징코모듈,SHKWA25010062,0,1,1,0,1,3,CI:SHKWA25010062 CI.pdf | OBL:SHKWA25010062 OBL.pdf | PL:SHKWA25010062 PL.pdf
2025,징코모듈,SHKWA25019106,2,1,1,1,0,5,BL:SHKWA25019106 BL update.PDF | BL:SHKWA25019106 BL.pdf | CI:SHKWA25019106 CI.pdf | HBL:SHKWA25019106 HBL.pdf | PL:SHKWA25019106 PL.pdf
2025,징코모듈,SHKWA25019107,1,1,1,1,0,4,BL:SHKWA25019107 BL.pdf | CI:SHKWA25019107 CI.pdf | HBL:SHKWA25019107 HBL.pdf | PL:SHKWA25019107 PL.pdf
2025,징코모듈,SHKWA25019109,1,1,1,1,0,4,BL:SHKWA25019109 BL.pdf | CI:SHKWA25019109 CI.pdf | HBL:SHKWA25019109 HBL.pdf | PL:SHKWA25019109 PL.pdf
2025,징코모듈,SHKWA25019765,0,1,1,0,1,3,CI:SHKWA25019765 CI.pdf | OBL:SHKWA25019765 OBL.pdf | PL:SHKWA25019765 PL.pdf
2025,징코모듈,SHKWA25019767,0,1,1,0,1,3,CI:SHKWA25019767 CI.pdf | OBL:SHKWA25019767 OBL.pdf | PL:SHKWA25019767 PL.pdf
2025,징코모듈,SHKWA25019768,0,1,1,0,1,3,CI:SHKWA25019768 CI.pdf | OBL:SHKWA25019768 OBL.pdf | PL:SHKWA25019768 PL.pdf
