file_type,classification,page_count,total_chars,avg_chars_per_page,filename,rel_path
CI,DIGITAL,1,1328,1328.0,JWSH24110023-CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023-CI.pdf
OBL,SCAN,2,0,0.0,JWSH24110023 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023 OBL.pdf
PL,DIGITAL,1,619,619.0,JWSH24110023-PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023-PL.pdf
BL,SCAN,1,0,0.0,JWSH24110024 JWL2021-COPY BL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\부산 JWSH24110024\JWSH24110024 JWL2021-COPY BL.pdf
CI,DIGITAL,1,1321,1321.0,JWSH24110024-CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\부산 JWSH24110024\JWSH24110024-CI.pdf
OBL,SCAN,2,0,0.0,JWSH24110024 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\부산 JWSH24110024\JWSH24110024 OBL.pdf
PL,DIGITAL,1,619,619.0,JWSH24110024-PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\부산 JWSH24110024\JWSH24110024-PL.pdf
CI,DIGITAL,1,1329,1329.0,JWSH24110025 -CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110025 부산\JWSH24110025 -CI.pdf
OBL,SCAN,2,0,0.0,JWSH24110025 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110025 부산\JWSH24110025 OBL.pdf
PL,DIGITAL,1,610,610.0,JWSH24110025 -PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110025 부산\JWSH24110025 -PL.pdf
CI,DIGITAL,1,1277,1277.0,JWSH24110045-CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\디원 7840pcs\JWSH24110045-CI.pdf
OBL,SCAN,2,0,0.0,JWSH24110045 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\디원 7840pcs\JWSH24110045 OBL.pdf
PL,DIGITAL,1,701,701.0,JWSH24110045-PL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\디원 7840pcs\JWSH24110045-PL.pdf
CI,DIGITAL,1,1284,1284.0,JWSH24110046 CI.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\일반광양 JWSH24110046  7920pcs\JWSH24110046 CI.pdf
OBL,SCAN,2,0,0.0,JWSH24110046 OBL.pdf,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\일반광양 JWSH24110046  7920pcs\JWSH24110046 OBL.pdf
