year,vendor,prefix,file_type,filename,size_bytes,rel_path
2024,징코모듈,징코선적 15MW 3.13출항 (no-id),BL,SNKO03K250201371_BL DRAFT.pdf,114264,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\SNKO03K250201371_BL DRAFT.pdf
2024,징코모듈,징코선적 15MW 3.13출항 (no-id),CI,CI 8000121182 SNKO03K250201370.pdf,136305,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\CI 8000121182 SNKO03K250201370.pdf
2024,징코모듈,징코선적 15MW 3.13출항 (no-id),CI,CI 8000121183 SNKO03K250201371.pdf,136377,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\CI 8000121183 SNKO03K250201371.pdf
2024,징코모듈,징코선적 15MW 3.13출항 (no-id),PL,PL 8000121182 SNKO03K250201370.pdf,312448,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\PL 8000121182 SNKO03K250201370.pdf
2024,징코모듈,징코선적 15MW 3.13출항 (no-id),PL,PL 8000121183 SNKO03K250201371.pdf,312455,2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 635WP  45MW 가운데 30MW(2025.02.19)\징코선적 15MW 3.13출항\PL 8000121183 SNKO03K250201371.pdf
2024,징코모듈,"평택 7.6MW 12,060pcs (no-id)",BL,3.BL copy BAL Specimen.PDF,362560,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\평택 7.6MW 12,060pcs\3.BL copy BAL Specimen.PDF"
2024,징코모듈,"평택 7.6MW 12,060pcs (no-id)",BL,3.BL copy BAL Specimen.PDF,362560,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\평택 7.6MW 12,060pcs\3.BL copy BAL Specimen.PDF"
2024,징코모듈,"평택 7.6MW 12,060pcs (no-id)",CI,1.CI_Z20240914118-1 2000165004.pdf,60710,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\평택 7.6MW 12,060pcs\1.CI_Z20240914118-1 2000165004.pdf"
2024,징코모듈,"평택 7.6MW 12,060pcs (no-id)",CI,1.CI_Z20240914118-1 2000165004.pdf,60710,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\평택 7.6MW 12,060pcs\1.CI_Z20240914118-1 2000165004.pdf"
2024,징코모듈,"평택 7.6MW 12,060pcs (no-id)",PL,2.PL_Z20240914118-1 2000165004.pdf,76877,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\평택 7.6MW 12,060pcs\2.PL_Z20240914118-1 2000165004.pdf"
2024,징코모듈,"평택 7.6MW 12,060pcs (no-id)",PL,2.PL_Z20240914118-1 2000165004.pdf,76877,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\평택 7.6MW 12,060pcs\2.PL_Z20240914118-1 2000165004.pdf"
2024,징코모듈,"평택 7.6MW 12,096pcs (no-id)",BL,3.BL copy BAL Specimen.PDF,362588,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\평택 7.6MW 12,096pcs\3.BL copy BAL Specimen.PDF"
2024,징코모듈,"평택 7.6MW 12,096pcs (no-id)",BL,3.BL copy BAL Specimen.PDF,362588,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\평택 7.6MW 12,096pcs\3.BL copy BAL Specimen.PDF"
2024,징코모듈,"평택 7.6MW 12,096pcs (no-id)",CI,1.CI_Z20240914117-1 2000165003.pdf,59646,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\평택 7.6MW 12,096pcs\1.CI_Z20240914117-1 2000165003.pdf"
2024,징코모듈,"평택 7.6MW 12,096pcs (no-id)",CI,1.CI_Z20240914117-1 2000165003.pdf,59646,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\평택 7.6MW 12,096pcs\1.CI_Z20240914117-1 2000165003.pdf"
2024,징코모듈,"평택 7.6MW 12,096pcs (no-id)",PL,2.PL_Z20240914117-1 2000165003.pdf,76869,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\징코모듈 630WP  25MW 선적  2024.09.13 개설\평택 7.6MW 12,096pcs\2.PL_Z20240914117-1 2000165003.pdf"
2024,징코모듈,"평택 7.6MW 12,096pcs (no-id)",PL,2.PL_Z20240914117-1 2000165003.pdf,76869,"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\탑솔라 징코 25MW  2024.07. 분할개설\평택 7.6MW 12,096pcs\2.PL_Z20240914117-1 2000165003.pdf"
2024,징코모듈,DL2024112000881,BL,DL2024112000881 BL (1).pdf,703123,2024년 모듈발주\징코모듈\선적서류\DL2024112000881 BL (1).pdf
2024,징코모듈,JWSH24020155,BL,BL - JWSH24020155.PDF,359653,2024년 모듈발주\징코모듈\100MW 중 625W 5MW 선적\선적서류\징코 5MW 7992장\BL - JWSH24020155.PDF
2024,징코모듈,JWSH24020155,BL,BL JWSH24020155 JWL2021-ORG stamped.pdf,747979,2024년 모듈발주\징코모듈\100MW 중 625W 5MW 선적\선적서류\징코 5MW 7992장\BL JWSH24020155 JWL2021-ORG stamped.pdf
2024,징코모듈,JWSH24020155,BL,BL JWSH24020155 JWL2021-ORG.pdf,730206,2024년 모듈발주\징코모듈\100MW 중 625W 5MW 선적\선적서류\징코 5MW 7992장\BL JWSH24020155 JWL2021-ORG.pdf
2024,징코모듈,JWSH24040006,BL,1 BL copy JWSH24040006 JWL2021-ORG.pdf,716606,2024년 모듈발주\징코모듈\100MW 중 625W 10MW 03.25 선적\Re_ [탑솔라(주)  기자재실] 10MW 선적서류(ETD2024.04.07)\1 BL copy JWSH24040006 JWL2021-ORG.pdf
