rel_path,file_type,parse_status,page_count,parsed_json
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023 CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025154"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025154"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 14400, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110023\JWSH24110023-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025154"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\부산 JWSH24110024\JWSH24110024-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025157"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400, ""total_watt"": 9072000, ""total_usd"": 857304.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\부산 JWSH24110024\JWSH24110024-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025157"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 14400}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110025 부산\JWSH24110025 -CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025158"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 7380, ""total_watt"": 4649400, ""total_usd"": 488187.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\JWSH24110025 부산\JWSH24110025 -PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025158"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 7380}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\디원 7840pcs\JWSH24110045-CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241025318"", ""pa_no"": ""MCKRJH24Q207"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4"", ""qty_pc"": 7740, ""total_usd"": 51606.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\디원 7840pcs\JWSH24110045-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241025318"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM635N-78HL4"", ""qty_pc"": 7740, ""pallets"": 100}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\일반광양 JWSH24110046  7920pcs\JWSH24110046 CI.pdf,CI,success,1,"{""invoice_no"": ""Z20241104458"", ""lc_no"": ""M12MK2410NU00025"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 7920, ""total_watt"": 4989600, ""total_usd"": 523908.0}"
2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\일반광양 JWSH24110046  7920pcs\JWSH24110046-PL.pdf,PL,success,1,"{""invoice_no"": ""Z20241104458"", ""lc_no"": ""M12MK2410NU00025"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 7920}"
"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\일반 광양 JWSH24110079  17,280pcs\JWSH24110079-CI.pdf",CI,success,1,"{""invoice_no"": ""Z20241104457"", ""lc_no"": ""M12MK2410NU00025"", ""pa_no"": ""MCKRJH24Q104"", ""hs_code"": ""8541430000"", ""trade_term"": ""CIF"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4-BDV-S"", ""qty_pc"": 17280, ""total_watt"": 10886400, ""total_usd"": 1143072.0}"
"2024년 모듈발주\징코모듈\발주서(200MW 3개사)\징코 200MW 진행의 건\탑솔라  125MW\일반 광양 JWSH24110079  17,280pcs\JWSH24110079-PL.pdf",PL,success,1,"{""invoice_no"": ""Z20241104457"", ""lc_no"": ""M12MK2410NU00025"", ""hs_code"": ""8541430000"", ""country_of_origin"": ""China"", ""model"": ""JKM630N-78HL4"", ""qty_pc"": 17280}"
