year,vendor,group_prefix,file_count,candidate_ids,sample_files
2025,론지솔라,WXAE25070807,1,WXAE25070807,HBL:HAWB112-37389811-WXAE25070807.pdf
2024,운송료,ZHC2404001,2,ZHC2404001,BL:BL No ZHC2404001(세금계산서).pdf | BL:BL NoZHC2404001 통관수수료.pdf
2024,징코모듈,1차 광양 (no-id),3,,CI:1 CI_Z20240306206-1.pdf | OBL:4 OBL 24030082.pdf | PL:2 PL_Z20240306206-1.pdf
2024,징코모듈,2차 부산 (no-id),3,,CI:1.CI_Z20240306203-1(UPDATE3.6).pdf | OBL:24030083 OBL.pdf | PL:2 PL_Z20240306203-1(UPDATE3.6).pdf
2025,징코모듈,디원 18MW - 11502pcs (no-id),2,,CI:8000312487-CUSTOMS-Z202511190066-2-CI.pdf | PL:8000312487-CUSTOMS-Z202511190066-2-PL.pdf
2024,징코모듈,디원 징코 (no-id),2,JWSH2408012,CI:CI_Z20240812178-1.pdf | PL:PL_Z20240812178-1.pdf
2024,징코모듈,선적서류 (no-id),4,JWSH24020155,CI:CI 1차 5MW.PDF | CI:CI_Z20240729119-1.pdf | PL:PL 1차 5MW.PDF
2025,징코모듈,징코 -화신이엔지 17280pcs (no-id),2,,"CI:CI_17,280pcs.pdf | PL:PL__17,280pcs.pdf"
2024,징코모듈,징코 5MW 7992장 (no-id),3,JWSH24020155,CI:CI_Z20240222247-1.pdf | PL:Packing List_탑솔라.pdf | PL:PL_Z20240222247-1.pdf
2025,징코모듈,징코-화신 635WP 7114pcs (no-id),3,,"BL:BL_7,114pcs.pdf | CI:CI_7,114pcs.pdf | PL:PL_7,114pcs.pdf"
2025,징코모듈,징코-화신이엔지 21326pcs (no-id),3,,"BL:BL_Hwasin_21,326pcs.pdf | CI:CI_Hwasin_21,326pcs.pdf | PL:PL_Hwasin_21,326pcs.pdf"
2025,징코모듈,탑솔라-징코 20MW 2025.11.18 (no-id),3,,CI:CI 31464pcs.pdf | OBL:OBL SNK003K251003063.pdf | PL:PL 31464pcs.pdf
2024,징코모듈,"평택 7.6MW 12,060pcs (no-id)",6,,BL:3.BL copy BAL Specimen.PDF | BL:3.BL copy BAL Specimen.PDF | CI:1.CI_Z20240914118-1 2000165004.pdf
2024,징코모듈,"평택 7.6MW 12,096pcs (no-id)",6,,BL:3.BL copy BAL Specimen.PDF | BL:3.BL copy BAL Specimen.PDF | CI:1.CI_Z20240914117-1 2000165003.pdf
2024,징코모듈,DL2024112000881,1,DL2024112000881,BL:DL2024112000881 BL (1).pdf
2024,징코모듈,JWSH24020155,3,JWSH24020155,BL:BL - JWSH24020155.PDF | BL:BL JWSH24020155 JWL2021-ORG stamped.pdf | BL:BL JWSH24020155 JWL2021-ORG.pdf
2024,징코모듈,JWSH2408012,1,JWSH2408012,OBL:BL JWSH2408012 OBL.pdf
2025,징코모듈,NBOZQ8C88100 (no-id),3,,CI:NBOZQ8C88100 CI.pdf | OBL:NBOZQ8C88100 OBL.pdf | PL:NBOZQ8C88100 PL.pdf
2025,징코모듈,OneDrive_2025-12-09 디원  11520pcs (no-id),4,,"BL:BL_Theone_11,520pcs 수정.pdf | BL:BL_Theone_11,520pcs.pdf | CI:CI_Theone_11,520pcs.pdf"
2025,징코모듈,"RE_ [진코솔라코리아] Topsolar CI, PL, FR 송부의 건 (1) (no-id)",5,,"BL:BL_11,772pcs.pdf | CI:CI_11,772pcs.pdf | CI:CI_11,772pcs.pdf"
2024,징코모듈,RE_ [탑솔라(주)  기자재실] 100MW 모듈 구매계약서 날인본 송부드립니다 (no-id),5,,CI:1 CI_Z20240306206-1.pdf | CI:1.CI_Z20240306203-1(UPDATE3.6).pdf | OBL:4 OBL 24030082.pdf
2025,징코모듈,RE_ [Topsolar] Topsolar 310mw+Hwasin 40mw+Theone18mw 관련 진행상황  5760pcs (no-id),3,,BL:251201_Theone_5760pcs BL.pdf | CI:251201_Theone_5760pcs CI.pdf | PL:251201_Theone_5760pcs PL.pdf
2024,징코모듈,"RE_ 100MW수정계약,  620W계약서(684장) (no-id)",3,,BL:1 BL EASHO2421NK232.pdf | CI:2 CI_Z20240515329-1.pdf | PL:3 PL_Z20240515329-1.pdf
2024,CSI,CSI 디원 462장 전달서류 (no-id),1,,BL:OE00XH240805173 BL draft.pdf
2024,CSI,FW_ Fwd_ The shipping documents of THEONE (no-id),1,,BL:OE00XH240805173 BL.pdf
